"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"ggsci","ggsci","C:/Users/Victor/Documents/R/win-library/4.1","2.9",NA,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)",NA,"knitr, rmarkdown, gridExtra, reshape2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggsignif","ggsignif","C:/Users/Victor/Documents/R/win-library/4.1","0.6.2",NA,NA,"ggplot2 (>= 3.3.3)",NA,"knitr, rmarkdown, spelling, testthat, vdiffr (>= 1.0.0)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"ggthemes","ggthemes","C:/Users/Victor/Documents/R/win-library/4.1","4.2.4",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, rlang, rmarkdown, spelling, testthat, tidyr,
vdiffr, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"ggthemr","ggthemr","C:/Users/Victor/Documents/R/win-library/4.1","1.1.0",NA,"R (>= 3.0.0), ggplot2 (>= 3.3.2)","scales",NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"gh","gh","C:/Users/Victor/Documents/R/win-library/4.1","1.3.0",NA,NA,"cli (>= 2.0.1), gitcreds, httr (>= 1.2), ini, jsonlite",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 2.3.2), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"gifski","gifski","C:/Users/Victor/Documents/R/win-library/4.1","1.4.3-1",NA,NA,NA,NA,"ggplot2, gapminder",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"gitcreds","gitcreds","C:/Users/Victor/Documents/R/win-library/4.1","0.1.1",NA,NA,NA,NA,"codetools, testthat, knitr, mockery, oskeyring, rmarkdown,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"gld","gld","C:/Users/Victor/Documents/R/win-library/4.1","2.6.3",NA,NA,"stats, graphics, e1071, lmom",NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"globals","globals","C:/Users/Victor/Documents/R/win-library/4.1","0.14.0",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.1"
"glue","glue","C:/Users/Victor/Documents/R/win-library/4.1","1.5.0",NA,"R (>= 3.2)","methods",NA,"covr, crayon, DBI, dplyr, forcats, ggplot2, knitr, magrittr,
microbenchmark, R.utils, rmarkdown, rprintf, RSQLite, stringr,
testthat, vctrs (>= 0.3.0), waldo, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"gmodels","gmodels","C:/Users/Victor/Documents/R/win-library/4.1","2.18.1",NA,"R (>= 1.9.0)","MASS, gdata",NA,"gplots, gtools, Matrix, nlme, lme4 (>= 0.999999-0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"gmp","gmp","C:/Users/Victor/Documents/R/win-library/4.1","0.6-2",NA,"R (>= 3.5.0)","methods",NA,"Rmpfr, MASS, round",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"goftest","goftest","C:/Users/Victor/Documents/R/win-library/4.1","1.2-3",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"googleAuthR","googleAuthR","C:/Users/Victor/Documents/R/win-library/4.1","1.4.0",NA,"R (>= 3.3.0)","assertthat (>= 0.2.0), cli (>= 2.0.2), digest, gargle (>=
1.1.0), httr (>= 1.4.0), jsonlite (>= 1.6), memoise (>= 1.1.0),
rlang, utils",NA,"bigQueryR, covr, devtools (>= 1.12.0), formatR (>= 1.4),
googleAnalyticsR, knitr, miniUI (>= 0.1.1), rmarkdown, roxygen2
(>= 5.0.0), rstudioapi, shiny (>= 0.13.2), testthat, usethis
(>= 1.6.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"googledrive","googledrive","C:/Users/Victor/Documents/R/win-library/4.1","2.0.0",NA,"R (>= 3.3)","cli (>= 3.0.0), gargle (>= 1.2.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar, purrr (>= 0.2.3), rlang
(>= 0.4.9), tibble (>= 2.0.0), utils, uuid, vctrs (>= 0.3.0),
withr",NA,"covr, curl, downlit, dplyr (>= 1.0.0), knitr, mockr,
rmarkdown, roxygen2, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"googlesheets4","googlesheets4","C:/Users/Victor/Documents/R/win-library/4.1","1.0.0",NA,"R (>= 3.3)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.2.0), glue (>=
1.3.0), googledrive (>= 2.0.0), httr, ids, magrittr, methods,
purrr, rematch2, rlang (>= 0.4.11), tibble (>= 2.1.1), utils,
vctrs (>= 0.2.3)",NA,"covr, readr, rmarkdown, sodium, spelling, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"gower","gower","C:/Users/Victor/Documents/R/win-library/4.1","0.2.2",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"GPfit","GPfit","C:/Users/Victor/Documents/R/win-library/4.1","1.0-8",NA,NA,"lhs (>= 0.5), lattice (>= 0.18-8)",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.2"
"gradethis","gradethis","C:/Users/Victor/Documents/R/win-library/4.1","0.2.3.9001",NA,"R (>= 3.2.0)","checkmate, commonmark, ellipsis, glue, htmltools, learnr (>=
0.10.1.9008), lifecycle, magrittr, purrr, rlang, rstudioapi,
testthat, utils, waldo",NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"gradethisBR","gradethisBR","C:/Users/Victor/Documents/R/win-library/4.1","0.2.3.9001",NA,"R (>= 3.2.0)","checkmate, commonmark, ellipsis, gradethis, glue, htmltools,
learnr (>= 0.10.1.9008), lifecycle, magrittr, purrr, rlang,
rstudioapi, testthat, utils, waldo",NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"greybox","greybox","C:/Users/Victor/Documents/R/win-library/4.1","1.0.1",NA,"R (>= 3.5.0)","stats, graphics, utils, lamW, pracma, nloptr, statmod, zoo,
texreg, methods","Rcpp","smooth (>= 3.0.0), doMC, doParallel, foreach, testthat,
rmarkdown, knitr","vars,","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"gridExtra","gridExtra","C:/Users/Victor/Documents/R/win-library/4.1","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"gridGraphics","gridGraphics","C:/Users/Victor/Documents/R/win-library/4.1","0.5-1",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"gsubfn","gsubfn","C:/Users/Victor/Documents/R/win-library/4.1","0.7",NA,"proto",NA,NA,"boot, chron, grid, lattice, quantreg, svUnit, tcltk, zoo",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"gt","gt","C:/Users/Victor/Documents/R/win-library/4.1","0.3.1",NA,"R (>= 3.2.0)","base64enc (>= 0.1-3), bitops (>= 1.0.6), checkmate (>= 2.0.0),
commonmark (>= 1.7), dplyr (>= 0.8.5), fs (>= 1.3.2), ggplot2
(>= 3.3.0), glue (>= 1.3.2), htmltools (>= 0.5.0), magrittr (>=
1.5), rlang (>= 0.4.5), sass (>= 0.1.1), scales (>= 1.1.0),
stringr (>= 1.3.1), tibble (>= 3.0.0), tidyselect (>= 1.0.0)",NA,"covr, knitr, paletteer, testthat (>= 2.1.0), RColorBrewer,
rmarkdown, rvest, shiny, tidyr, webshot, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"gtable","gtable","C:/Users/Victor/Documents/R/win-library/4.1","0.3.0",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"gtools","gtools","C:/Users/Victor/Documents/R/win-library/4.1","3.9.2",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.1"
"gtrendsR","gtrendsR","C:/Users/Victor/Documents/R/win-library/4.1","1.4.8",NA,"R (>= 3.5.0)","ggplot2, jsonlite, anytime, curl",NA,"knitr, rmarkdown, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"gWidgets2","gWidgets2","C:/Users/Victor/Documents/R/win-library/4.1","1.0-8",NA,"methods, digest",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.2"
"gWidgets2tcltk","gWidgets2tcltk","C:/Users/Victor/Documents/R/win-library/4.1","1.0-6",NA,"R (>= 2.12.0), methods, digest, memoise, tcltk(>= 2.7.0),
gWidgets2(>= 1.0.7)",NA,NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"hardhat","hardhat","C:/Users/Victor/Documents/R/win-library/4.1","0.1.6",NA,"R (>= 2.10)","glue, rlang (>= 0.4.2), tibble, vctrs (>= 0.3.0)",NA,"covr, crayon, devtools, knitr, Matrix, modeldata (>= 0.0.2),
recipes (>= 0.1.8), rmarkdown (>= 2.3), roxygen2, testthat (>=
2.1.0), usethis",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"haven","haven","C:/Users/Victor/Documents/R/win-library/4.1","2.4.1",NA,"R (>= 3.2)","forcats (>= 0.2.0), hms, methods, readr (>= 0.1.0), rlang (>=
0.4.0), tibble, tidyselect, vctrs (>= 0.3.0)","cpp11","cli, covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"highr","highr","C:/Users/Victor/Documents/R/win-library/4.1","0.9",NA,"R (>= 3.2.3)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"Hmisc","Hmisc","C:/Users/Victor/Documents/R/win-library/4.1","4.6-0",NA,"lattice, survival (>= 3.1-6), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, foreign, gtable,
grid, gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc",NA,"acepack, chron, rms, mice, tables, knitr, plotly (>= 4.5.6),
rlang, plyr, VGAM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"hms","hms","C:/Users/Victor/Documents/R/win-library/4.1","1.1.1",NA,NA,"ellipsis (>= 0.3.2), lifecycle, methods, pkgconfig, rlang,
vctrs (>= 0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"hrbrthemes","hrbrthemes","C:/Users/Victor/Documents/R/win-library/4.1","0.8.0",NA,"R (>= 3.4.0)","ggplot2 (>= 3.3.0), grDevices, grid, scales, extrafont, knitr,
rmarkdown, htmltools, tools, magrittr, gdtools",NA,"testthat, dplyr, gridExtra, hunspell, stringi, gcookbook,
clipr, vdiffr, svglite",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"htmlTable","htmlTable","C:/Users/Victor/Documents/R/win-library/4.1","2.3.0",NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, reshape, rmarkdown, chron,
lubridate, tibble, purrr, tidyselect, glue, rlang, tidyr (>=
0.7.2), dplyr (>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.1"
"htmltools","htmltools","C:/Users/Victor/Documents/R/win-library/4.1","0.5.2",NA,"R (>= 2.14.1)","utils, digest, grDevices, base64enc, rlang (>= 0.4.10),
fastmap",NA,"markdown, testthat, withr, Cairo, ragg, shiny","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"htmlwidgets","htmlwidgets","C:/Users/Victor/Documents/R/win-library/4.1","1.5.3",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,"knitr (>= 1.8), rmarkdown, testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"httpcode","httpcode","C:/Users/Victor/Documents/R/win-library/4.1","0.3.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"httpuv","httpuv","C:/Users/Victor/Documents/R/win-library/4.1","1.6.1",NA,"R (>= 2.15.1)","Rcpp (>= 0.11.0), utils, R6, promises, later (>= 0.8.0)","Rcpp, later","testthat, callr, curl, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"httr","httr","C:/Users/Victor/Documents/R/win-library/4.1","1.4.2",NA,"R (>= 3.2)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"hunspell","hunspell","C:/Users/Victor/Documents/R/win-library/4.1","3.0.1",NA,"R (>= 3.0.2)","Rcpp, digest","Rcpp (>= 0.12.12)","spelling, testthat, pdftools, janeaustenr, wordcloud2, knitr,
stopwords, rmarkdown",NA,"GPL-2 | LGPL-2.1 | MPL-1.1",NA,NA,NA,NA,"yes","4.1.0"
"ids","ids","C:/Users/Victor/Documents/R/win-library/4.1","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"igraph","igraph","C:/Users/Victor/Documents/R/win-library/4.1","1.2.6",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils",NA,"ape, digest, graph, igraphdata, rgl, scales, stats4, tcltk,
testthat, withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"imager","imager","C:/Users/Victor/Documents/R/win-library/4.1","0.42.10",NA,"R (>= 2.10.0),magrittr","Rcpp (>=
0.11.5),methods,stringr,png,jpeg,readbitmap,grDevices,purrr,downloader,igraph","Rcpp","knitr, rmarkdown,ggplot2,dplyr,scales,
testthat,OpenMPController,raster,spatstat.geom,magick,Cairo",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.1.0"
"infer","infer","C:/Users/Victor/Documents/R/win-library/4.1","1.0.0",NA,"R (>= 3.5.0)","dplyr (>= 0.7.0), ggplot2, glue (>= 1.3.0), grDevices,
magrittr, methods, purrr, rlang (>= 0.2.0), tibble, broom,
tidyr, generics, patchwork",NA,"covr, devtools (>= 1.12.0), fs, knitr, nycflights13,
rmarkdown, stringr, testthat, vdiffr (>= 1.0.0)",NA,"CC0",NA,NA,NA,NA,"no","4.1.2"
"ini","ini","C:/Users/Victor/Documents/R/win-library/4.1","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"insight","insight","C:/Users/Victor/Documents/R/win-library/4.1","0.14.5.1",NA,"R (>= 3.4)","methods, stats, utils",NA,"AER, afex, aod, BayesFactor, bayestestR, bbmle, bdsmatrix,
betareg, bife, biglm, blavaan, blme, boot, brms, censReg, cgam,
clubSandwich, coxme, cplm, crch, datawizard, effectsize,
emmeans, epiR, estimatr, feisr, fixest, fungible, gam, gamlss,
gamm4, gbm, gee, geepack, GLMMadaptive, glmmTMB, gmnl, gt,
httr, ivreg, JM, knitr, lavaan, lfe, lme4, lmtest, logistf,
MASS, Matrix, mclust, MCMCglmm, merTools, metaBMA, mgcv, mice,
mlogit, multgee, nlme, nnet, nonnest2, ordinal, panelr,
parameters, parsnip, performance, plm, poorman, pscl, psych,
quantreg, rmarkdown, rms, robustbase, robustlmm, rstanarm (>=
2.21.1), rstantools, rstudioapi, sandwich, speedglm, spelling,
splines, statmod, survey, survival, testthat, tripack,
truncreg, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.2"
"installr","installr","C:/Users/Victor/Documents/R/win-library/4.1","0.23.2",NA,"R (>= 2.14.0)","stringr, utils",NA,"curl, XML, devtools, rjson, data.table, plyr, ggplot2, sp,
tools, pkgbuild (>= 1.1.0), testthat (>= 2.1.0), mockery,
R.utils",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"ipred","ipred","C:/Users/Victor/Documents/R/win-library/4.1","0.9-12",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data, randomForest, party",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"ISLR","ISLR","C:/Users/Victor/Documents/R/win-library/4.1","1.2",NA,"R (>= 2.10)",NA,NA,"MASS",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"isoband","isoband","C:/Users/Victor/Documents/R/win-library/4.1","0.2.5",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"iterators","iterators","C:/Users/Victor/Documents/R/win-library/4.1","1.0.13",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.1.1"
"janeaustenr","janeaustenr","C:/Users/Victor/Documents/R/win-library/4.1","0.1.5",NA,"R (>= 3.1.2)",NA,NA,"dplyr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"jpeg","jpeg","C:/Users/Victor/Documents/R/win-library/4.1","0.1-8.1",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"jquerylib","jquerylib","C:/Users/Victor/Documents/R/win-library/4.1","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"jsonlite","jsonlite","C:/Users/Victor/Documents/R/win-library/4.1","1.7.2",NA,"methods",NA,NA,"httr, curl, plyr, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"kableExtra","kableExtra","C:/Users/Victor/Documents/R/win-library/4.1","1.3.4",NA,"R (>= 3.1.0)","knitr (>= 1.16), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rvest, rmarkdown (>= 1.6.0), scales, viridisLite, stats,
grDevices, htmltools, rstudioapi, glue, tools, webshot, digest,
graphics, svglite",NA,"testthat, magick, formattable, sparkline",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"knitr","knitr","C:/Users/Victor/Documents/R/win-library/4.1","1.36",NA,"R (>= 3.2.3)","evaluate (>= 0.10), highr, methods, stringr (>= 0.6), yaml (>=
2.1.19), xfun (>= 0.21), tools",NA,"markdown, formatR, testit, digest, rgl (>= 0.95.1201),
codetools, rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice
(>= 0.10), tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1),
magick, png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>=
0.4-1), showtext, tibble, sass, bslib, ragg, styler (>= 1.2.0),
targets (>= 0.6.0)",NA,"GPL",NA,NA,NA,NA,"no","4.1.1"
"kSamples","kSamples","C:/Users/Victor/Documents/R/win-library/4.1","1.2-9",NA,"SuppDists","methods, graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"labeling","labeling","C:/Users/Victor/Documents/R/win-library/4.1","0.4.2",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.1.0"
"Lahman","Lahman","C:/Users/Victor/Documents/R/win-library/4.1","9.0-0",NA,"R (>= 2.10)","dplyr",NA,"lattice, ggplot2, googleVis, data.table, vcd, reshape2,
tidyr, knitr, rmarkdown, car",NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"lamW","lamW","C:/Users/Victor/Documents/R/win-library/4.1","2.1.0",NA,"R (>= 3.0.2)","Rcpp, RcppParallel (>= 4.3.20)","Rcpp, RcppParallel (>= 4.3.20)","testthat, covr",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"later","later","C:/Users/Victor/Documents/R/win-library/4.1","1.2.0",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"latticeExtra","latticeExtra","C:/Users/Victor/Documents/R/win-library/4.1","0.6-29",NA,"R (>= 3.6.0), lattice","grid, stats, utils, grDevices, png, jpeg, RColorBrewer",NA,"maps, mapproj, deldir, tripack, quantreg, zoo, MASS, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"lava","lava","C:/Users/Victor/Documents/R/win-library/4.1","1.6.10",NA,"R (>= 3.0)","future.apply, progressr, grDevices, graphics, methods,
numDeriv, stats, survival, SQUAREM, utils",NA,"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
geepack, gof (>= 0.9), graph, knitr, bookdown, rmarkdown,
igraph (>= 0.6), lava.tobit (>= 0.4.7), lavaSearch2, lme4,
magrittr, mets (>= 1.1), nlme, optimx, polycor, quantreg, rgl,
R.rsp (>= 0.40), testthat (>= 0.11), visNetwork, zoo",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"lavaan","lavaan","C:/Users/Victor/Documents/R/win-library/4.1","0.6-9",NA,"R(>= 3.4)","methods, stats4, stats, utils, graphics, MASS, mnormt,
pbivnorm, numDeriv",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.0"
"lazyeval","lazyeval","C:/Users/Victor/Documents/R/win-library/4.1","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"leaflet","leaflet","C:/Users/Victor/Documents/R/win-library/4.1","2.0.4.1",NA,"R (>= 3.1.0)","base64enc, crosstalk, htmlwidgets, htmltools, magrittr,
markdown, methods, png, RColorBrewer, raster, scales (>=
1.0.0), sp, stats, viridis (>= 0.5.1), leaflet.providers (>=
1.8.0)",NA,"knitr, maps, sf (>= 0.9-6), shiny, rgdal, rgeos, R6, RJSONIO,
purrr, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"leaflet.providers","leaflet.providers","C:/Users/Victor/Documents/R/win-library/4.1","1.9.0",NA,"R (>= 2.10)",NA,NA,"V8, jsonlite, testthat (>= 2.1.0)",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"leaps","leaps","C:/Users/Victor/Documents/R/win-library/4.1","3.1",NA,"",NA,NA,"biglm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"learnr","learnr","C:/Users/Victor/Documents/R/win-library/4.1","0.10.1.9009",NA,NA,"checkmate, curl, digest, ellipsis (>= 0.2.0.1), evaluate,
htmltools (>= 0.3.5), htmlwidgets, jsonlite, knitr (>= 1.14),
markdown, parallel, promises, rappdirs, renv (>= 0.8.0), rlang,
rmarkdown (>= 1.12.0), rprojroot, shiny (>= 1.0), utils, withr",NA,"callr, httpuv, later, shinytest (>= 1.4.0.9002), testthat (>=
2.1.0)",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.1.0"
"learnrhash","learnrhash","C:/Users/Victor/Documents/R/win-library/4.1","0.1.0.9000",NA,"R (>= 3.5.0)","learnr, shiny, base64enc, dplyr, tidyr, purrr, clipr, rlang,
tibble",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"LexisPlotR","LexisPlotR","C:/Users/Victor/Documents/R/win-library/4.1","0.4.0",NA,"R (>= 2.10)","ggplot2, dplyr, tidyr",NA,"knitr, HMDHFDplus",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"lhs","lhs","C:/Users/Victor/Documents/R/win-library/4.1","1.1.3",NA,"R (>= 3.4.0)","Rcpp","Rcpp","testthat, assertthat, DoE.base, knitr, rmarkdown, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"libcoin","libcoin","C:/Users/Victor/Documents/R/win-library/4.1","1.0-8",NA,"R (>= 3.4.0)","stats, mvtnorm","mvtnorm","coin",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"lifecycle","lifecycle","C:/Users/Victor/Documents/R/win-library/4.1","1.0.1",NA,"R (>= 3.3)","glue, rlang (>= 0.4.10)",NA,"covr, crayon, lintr, tidyverse, knitr, rmarkdown, testthat
(>= 3.0.1), tools, tibble, vctrs",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"listenv","listenv","C:/Users/Victor/Documents/R/win-library/4.1","0.8.0",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.1"
"lme4","lme4","C:/Users/Victor/Documents/R/win-library/4.1","1.1-27.1",NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, PKPDmodels, MEMSS, testthat (>= 0.8.1),
ggplot2, mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"lmodel2","lmodel2","C:/Users/Victor/Documents/R/win-library/4.1","1.7-3",NA,"R (>= 2.14.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"lmom","lmom","C:/Users/Victor/Documents/R/win-library/4.1","2.8",NA,"R (>= 3.0.0)","stats, graphics",NA,NA,NA,"Common Public License Version 1.0",NA,NA,NA,NA,"yes","4.1.1"
"lmtest","lmtest","C:/Users/Victor/Documents/R/win-library/4.1","0.9-38",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"lobstr","lobstr","C:/Users/Victor/Documents/R/win-library/4.1","1.1.1",NA,"R (>= 3.2)","crayon, Rcpp, rlang (>= 0.3.0)","Rcpp","covr, pillar, pkgdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
